Address,Read/Write,Soft Miss,Hard Miss,Hit,Dirty,Value
115B,0,0,1,0,0,9
3775,0,0,1,0,0,185
F16E,1,0,1,0,1,4380036
3DD5,0,0,1,0,0,81
FEB3,0,0,1,0,0,78
3495,0,1,0,0,0,254
BAC1,0,0,1,0,0,188
B87F,1,1,0,0,1,9656869
F547,0,0,1,0,0,217
31BF,1,1,0,0,1,1518103
D067,0,0,1,0,0,204
D730,0,1,0,0,0,218
9355,0,1,0,0,0,116
DBE1,0,1,0,0,0,36
E7D7,0,1,0,0,0,3
95DE,0,0,1,0,0,251
11BD,0,1,0,0,0,232
9883,0,0,1,0,0,25
5C79,0,1,0,0,0,212
D41E,0,0,1,0,0,200
85B1,0,1,0,0,0,233
14A5,0,1,0,0,0,151
C5F0,0,1,0,0,0,13
20C4,0,1,0,0,0,144
129C,0,1,0,0,0,218
A77E,0,0,1,0,0,220
884C,0,0,1,0,0,48
C25A,0,1,0,0,0,192
2EEF,0,0,1,0,0,164
CE93,1,0,1,0,1,-3637189
F1BC,0,1,0,0,0,208
6F4A,1,0,1,0,1,-1808974
B442,0,1,0,0,0,189
62AC,0,1,0,0,0,72
AA90,0,1,0,0,0,154
C3CF,0,0,1,0,0,74
3627,0,1,0,0,0,46
B39E,1,1,0,0,1,4959678
A613,0,1,0,0,0,237
1181,0,1,0,0,0,242
06A5,0,1,0,0,0,198
6266,0,1,0,0,0,217
CB36,0,0,1,0,0,169
B003,0,1,0,0,0,35
3443,1,1,0,0,1,-5705469
